,UserID,Name,Tweet,Mentions,Created At,Retweet,Likes,Location,Translated
103,chowkidardamdar,shivay,"@baynes_simon: 🚨Today is the last day of the Conservatives leadership election.

✅As Prime Minister, Rishi will grip inflation, support…",['Simon Baynes MP'],2022-11-01 21:20:11+00:00,1,0,,
104,chowkidardamdar,shivay,"@KelhamCooke: Voting closes today at 5pm.

I’m proud to be supporting @RishiSunak to be our next Prime Minister. 

As a local leader in…","['Kelham Cooke', 'Rishi Sunak']",2022-11-01 21:20:06+00:00,1,0,,
105,chowkidardamdar,shivay,@JonesyFay: Just a few hours left!! 🗳 #Ready4Rishi https://t.co/JOtl9thWz2,['Fay Jones MP'],2022-11-01 21:19:52+00:00,1,0,,
106,chowkidardamdar,shivay,@jonnycope: We’re (finally!) at the end of the leadership contest. I’m proud to have supported @RishiSunak from the outset. He has shown…,"['Jonny Cope', 'Rishi Sunak']",2022-11-01 21:19:47+00:00,1,0,,
107,chowkidardamdar,shivay,"@MattHancock: I’ve voted for @RishiSunak as he will grip inflation and support people with the cost of living as Prime Minister

If you…","['Matt Hancock', 'Rishi Sunak']",2022-11-01 21:19:41+00:00,1,0,,
108,chowkidardamdar,shivay,"@RishiSunak: Six weeks on the road and I’ve loved every second. 

Voting closes at 5pm today and every vote matters! #Ready4Rishi https:…",['Rishi Sunak'],2022-11-01 21:19:27+00:00,1,0,,
109,chowkidardamdar,shivay,"@Helen_Whately: Today is the last day of the #ConservativeLeadershipContest 

Throughout the campaign @RishiSunak has shown his grip of…","['Helen Whately', 'Rishi Sunak']",2022-11-01 21:19:13+00:00,1,0,,
110,chowkidardamdar,shivay,"@Ready4Rishi: 🚨Today is the last day of the @Conservatives leadership election

✅As Prime Minister, Rishi will grip inflation, support p…","['Ready 4 Rishi', 'Conservatives']",2022-11-01 21:18:32+00:00,1,0,,
111,sissileis,sissileis.crypto,"@Ready4Rishi: 💬""I have the greatest respect for our judiciary and the rule of law in this country, which is why I want to call time on p…",['Ready 4 Rishi'],2022-11-01 19:22:56+00:00,1,0,Saint Vincent and the Grenadines,
112,owainpj,Owain Powell-Jones,"I do hope all the #Ready4Rishi folks had already secured their positions !

""The news marks a turnaround for Mr Odey, whose bets against long-dated UK government bonds have finally paid off after years of losses.""

@Conservatives
@trussliz

https://t.co/dlA9rfKSON","['Conservatives', 'Liz Truss']",2022-11-01 18:36:31+00:00,0,1,"London, England",
113,unrjespectedu,unrjespectedu.eth,"@Ready4Rishi: 📈 Managing the economy has never been more important for our next PM: https://t.co/Ha2CKNKlsd

👉 Unfunded tax cuts will ex…",['Ready 4 Rishi'],2022-11-01 18:35:34+00:00,1,0,Slovakia,
114,merlqlot,Merlqlot.eth,"@Ready4Rishi: Thank you to @OliverDowden and the members in Hertsmere coming to show your support for Rishi this morning👏

Join our camp…","['Ready 4 Rishi', 'Oliver Dowden']",2022-11-01 13:38:07+00:00,1,0,Djibouti,
115,NftsHarris,HarrisNFTS,"I’ve not voted for Rishi Sunak, the man who has caused the cost of living crisis! #Ready4Rishi",[],2022-11-01 13:18:02+00:00,0,0,"Ogudu, Nigeria",
116,procesasqings,procesasqings.eth,"@Ready4Rishi: 💬""Implementing £60 billion of immediate, permanent tax cuts, funded by borrowing and delivered at a time when inflation is…",['Ready 4 Rishi'],2022-11-01 13:11:17+00:00,1,0,Dominica,
117,Swiss_Shubha,'mshubha,"@RishiSunak: Six weeks on the road and I’ve loved every second. 

Voting closes at 5pm today and every vote matters! #Ready4Rishi https:…",['Rishi Sunak'],2022-11-01 13:08:04+00:00,1,0,,
118,micronap,rick,"by-election in Hancock’s constituency? last time he got 66% of the vote. UKIP came second there in 2015. Pretty sobering after all those recent Labour poll leads, and a timely reminder that there are millions of complete arseholes in this country #ready4rishi",[],2022-11-01 11:24:19+00:00,0,0,,
119,hfbbde,Xhhsd Hfbbde,"@RishiSunak: Thank you to all the people who came to support at the final hustings in London last night. 

Catch up with the full event…",['Rishi Sunak'],2022-11-01 10:31:10+00:00,1,0,Estonia,
120,owainpj,Owain Powell-Jones,"@paulwaugh We are being had !

#Ready4Rishi and devious Hunt are trying to blame entire supposed economic 'black hole' on now reversed mini budget and 44 days of Truss as PM

Just cover for what they really want to do - neo liberal tax and spend government !

https://t.co/qgP2pNOkkL",['Paul Waugh'],2022-11-01 07:41:45+00:00,0,1,"London, England",
