,UserID,Name,Tweet,Mentions,Created At,Retweet,Likes,Location
530,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,@NSimdega: राष्ट्रीय युवा स्वयंसेवकों द्वारा प्रखंड - पाकरटांड में ग्रामीणों को घर घर जाकर #HarGharTiranga अभियान के बारे में जागरूक कि…,"['Nehru Yuva Kendra, Simdega (Jharkhand)']",2022-08-19 14:55:22+00:00,1,0,Jalandhar
531,rpfpcmipm,RPF post Marripalem,"@RailMinIndia: विजयी विश्व 🇮🇳 प्यारा!

गुजरात के गांधीनगर कैपिटल स्टेशन पर शान से राष्ट्रीय ध्वज फहराकर आजादी का #AmritMahotsav मनाया जा…",['Ministry of Railways'],2022-08-19 14:55:21+00:00,1,0,
532,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,@BandaNyk: नेहरू युवा केन्द्र बाँदा (उ.प्र) द्वारा हर घर तिरंगा अभियान के अंतर्गत 75 वे स्वतंत्रता दिवस को हर्षोल्लास के साथ मनाया।@ianu…,['NYK Banda'],2022-08-19 14:55:19+00:00,1,0,Jalandhar
533,Lalitapandit8,Lalita pandit,"@Yveerangnayen To save the mother earth 🌎 trees plantion is most important.  #YouthVeerangnayen 
#HarGharTiranga
#HarGharTirangaCampaign 
#IndependenceDay
#IndiaAt75🇮🇳 
#स्वतंत्रतादिवस
#स्वतंत्रता_दिवस_2022",['Youth Veerangnayen'],2022-08-19 14:55:19+00:00,0,0,"New Delhi, India"
534,nss_AVCollege,vartak nssH01,"#AzadiKaAmritMahotsav #HarGharTiranga
Swachchhata Abhiyan in A. V. College on 10th August 2022 https://t.co/MCwoY6FMbh",[],2022-08-19 14:55:14+00:00,0,0,
535,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,@nss_kotshila: Hand-made poster on Independence Day by NSS Volunteer Banibihari Kumar #HarGharTiranga @rdnss_kolkata @NssSkbu @_NSSIndia…,"['NSS Kotshila College', 'RDNSS Kolkata', 'skbu_nss', 'NSS India']",2022-08-19 14:55:10+00:00,1,0,Jalandhar
536,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,"@BethuneNss: Bethune college celebrates 'Azadi ka Amrit Mahosav'
@rdnss_kolkata @_NSSIndia @YASMinistry @AmritMahotsav #HarGharTiranga h…","['NSS Bethune College Unit', 'RDNSS Kolkata', 'NSS India', 'YAS Ministry', 'Amrit Mahotsav']",2022-08-19 14:55:01+00:00,1,0,Jalandhar
537,AditiRa1502,Aditi Rana,"@Nyksindia: हरू युवा केंद्र जिला जींद (हरियाणा) में युवा संगठन प्रधानों को ""हर घर तिरंगा"" अभियान के तहत तिरंगा वितरित करते हुए। 

#hargh…",['NYKS India'],2022-08-19 14:54:55+00:00,1,0,Una Himachal Pradesh
538,nssBMSITM,NSS BMSITM,"@NssrdD: Free Vaccination Booster Dose Drive Organised by NSS Unit, Central Sanskrit University, Shri Ranbir Campus Jammu
#AzadiKaAmritM…",['NSS Regional Directorate Delhi'],2022-08-19 14:54:53+00:00,1,0,
539,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,@ReemaGange: गंगा गाँव में #GangaDoot #Spearhead द्वारा जिला परियोजना अधिकारी के नेतृत्व में हुगली जिला मे #HarGharTiranga कार्यक्रम कि…,"['Reema Samanta D.P.O NYKS Namami Gange- Hooghly,W.B']",2022-08-19 14:54:47+00:00,1,0,Jalandhar
540,DineshJagannad1,Dinesh Jagannadham🏹🔥💥,"@PrabhasKTDM: #HarGharTiranga at @_PVRCinemas 

As I came to know by my Friend that Har Ghar Tiranga is Played at PVR booked Tickets for…","['Prabhas FC Kothagudem™', 'P V R C i n e m a s']",2022-08-19 14:54:41+00:00,1,0,"Ongole, India"
541,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,"@AryaNyks: आन देश की, शान देश की, देश की हम संतान हैं। तीन रंगों से बना तिरंगा हम सभी की जान है।
#IndependenceDay2022
#HarGharTiranga #A…",['Arya Nyks North East'],2022-08-19 14:54:34+00:00,1,0,Jalandhar
542,YuvaJalandhar,Nehru Yuva Kendra Jalandhar,@BandaNyk: नेहरू युवा केन्द्र बाँदा (उ.प्र) द्वारा हर घर तिरंगा अभियान के अंतर्गत 75 वे स्वतंत्रता दिवस को हर्षोल्लास के साथ मनाया।@ianu…,['NYK Banda'],2022-08-19 14:54:19+00:00,1,0,Jalandhar
543,SureshK83444955,RC~-_SALAAR_-~SK,"@box0fficeindia: Did You Know (?)

#Prabhas Is The Only South Indian Actor in #HarGharTiranga Anthem!!

#HarGharTirangaCampaign https://…",['Box Office India'],2022-08-19 14:54:19+00:00,1,0,India
544,nssBMSITM,NSS BMSITM,@nssrdbangalore: NSS unit Of KLE'S college of Pharmacy Rajajinagar Bangalore celebrated #HarGharTiranga in adopted village @_NSSIndia @Y…,"['NSSRDBANGALORE', 'NSS India']",2022-08-19 14:54:18+00:00,1,0,
545,PoojaSe51646902,Pooja Sen,"@DarshanNarang5: Thank you so much Guru ji for such a beautiful day, मुझे आशीर्वाद डिजेए की आज का दिन अच्छा जाए और मैं अंजाने में भी कि…",['Darshan Narang'],2022-08-19 14:54:15+00:00,1,0,
546,MangalG82684342,Mangal Goswami,"@sambitswaraj: “बोली, भाषा और प्रांत अनेक, 
  लेकिन हर घर तिरंगा एक” 

The #AmritMahotsav celebrations became even more special as the r…",['Sambit Patra'],2022-08-19 14:54:14+00:00,1,0,
